chrm,RT%,std,gene_id,len,dens
chrY,26.689131414195355,8.02373565633611,566,57227415,9.890364609339771
chr13,16.562636037688165,5.075579582412022,1402,114364328,12.259067355338283
chr4,25.50027206126159,4.193377148133523,2661,190214555,13.989465737782265
chr18,16.146635196053964,5.1559659742257935,1242,80373285,15.45289582228722
chrX,20.51729652357686,3.684731896717951,2423,156040895,15.527980661736143
chr3,20.080427697587513,3.5582347314463747,3188,198295559,16.077011588544956
chr5,19.776757296310965,3.790001794528964,2986,181538259,16.4483234357778
chr9,21.609414869088365,3.8312891874987782,2333,138394717,16.85757990314038
chr8,21.96923263107607,3.767970846432795,2483,145138636,17.107781004638905
chr2,21.875346946655508,3.778984625737204,4196,242193529,17.324988067703494
chr10,23.02616605895696,2.907803460453449,2330,133797422,17.414386354917962
chr6,20.641315638911962,3.956706600083323,3065,170805979,17.94433671434886
chr21,23.574628138625055,5.876178188686368,875,46709983,18.732612255500072
chr7,19.712933051584773,4.312167311887687,3016,159345973,18.9273688140208
chr14,14.708116297035064,3.683140367728345,2285,107043718,21.3464184792236
chr15,13.827050531544355,2.786654066627078,2221,101991189,21.776390899806064
chr1,20.287920358784923,4.088826301932324,5475,248956422,21.9918006373019
chr20,16.013976744341523,4.611651188843409,1459,64444167,22.63975264045232
chr12,15.865648449808305,3.1843503193125184,3057,133275309,22.937481990756442
chr11,16.933850870684903,3.7508374322015925,3362,135086622,24.88773462704545
chr22,18.610470655442466,3.550410158835175,1387,50818468,27.293227336172357
chr16,14.032716752209076,2.70238661909422,2559,90338345,28.326841719316423
chr17,14.245269202734146,3.1781165164122167,3057,83257441,36.71743886531415
chr19,16.745204346566435,3.960196921568276,2986,58617616,50.940318009521235
